127.0.0.1 - - [25/Apr/2023:08:59:42 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/Apr/2023:08:59:43 +0900] "GET /BBS/ HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [25/Apr/2023:08:59:43 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2023:08:59:43 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3044
0:0:0:0:0:0:0:1 - - [25/Apr/2023:08:59:43 +0900] "GET /BBS/images/img1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2023:08:59:46 +0900] "GET /BBS/smartbill.jsp HTTP/1.1" 200 56146
0:0:0:0:0:0:0:1 - - [25/Apr/2023:08:59:46 +0900] "GET /image/common/btn_dti_mk.gif HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [25/Apr/2023:08:59:46 +0900] "GET /image/common/ic_calendar.gif HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [25/Apr/2023:08:59:46 +0900] "GET /image/common/img_transbg.gif HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [25/Apr/2023:08:59:46 +0900] "GET /image/common/img_trans.gif HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [25/Apr/2023:08:59:46 +0900] "GET /image/common/btn_input_s.gif HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [25/Apr/2023:08:59:46 +0900] "GET /image/common/question.gif HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [25/Apr/2023:08:59:46 +0900] "GET /image/center/bul_plus.gif HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [25/Apr/2023:08:59:46 +0900] "GET /image/center/bul_minus.gif HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [25/Apr/2023:08:59:46 +0900] "GET /image/center/bg_dti_red.gif HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [25/Apr/2023:08:59:46 +0900] "GET /image/center/bul_plus5.gif HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [25/Apr/2023:08:59:46 +0900] "GET /image/center/img_btn_top.gif HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [25/Apr/2023:08:59:46 +0900] "GET /image/center/img_btn_txt_certificate_route.gif HTTP/1.1" 404 861
